model,dataset,uncertainty_type,accuracy
llama3,trivia_qa,sar,0.8340850515463918
llama3,trivia_qa,semanticentropy,0.8134664948453608
llama3,trivia_qa,maximumsequenceprobability,0.8153994845360825
llama3,trivia_qa,lexicalsimilarity,0.8353737113402062
llama3,trivia_qa,montecarlosequenceentropy,0.8128221649484536
llama3,truthful_qa,sar,0.6265709156193896
llama3,truthful_qa,semanticentropy,0.6014362657091562
llama3,truthful_qa,maximumsequenceprobability,0.5834829443447038
llama3,truthful_qa,lexicalsimilarity,0.6193895870736086
llama3,truthful_qa,montecarlosequenceentropy,0.5906642728904847
llama3,coqa,sar,0.7177601809954751
llama3,coqa,semanticentropy,0.7047511312217195
llama3,coqa,maximumsequenceprobability,0.6957013574660633
llama3,coqa,lexicalsimilarity,0.7126696832579186
llama3,coqa,montecarlosequenceentropy,0.7030542986425339
llama3,simple_qa,sar,0.5682989690721649
llama3,simple_qa,semanticentropy,0.5444587628865979
llama3,simple_qa,maximumsequenceprobability,0.5122422680412371
llama3,simple_qa,lexicalsimilarity,0.5199742268041238
llama3,simple_qa,montecarlosequenceentropy,0.5567010309278351
qwen,trivia_qa,sar,0.7938709677419354
qwen,trivia_qa,semanticentropy,0.7745161290322581
qwen,trivia_qa,maximumsequenceprobability,0.7629032258064516
qwen,trivia_qa,lexicalsimilarity,0.7861290322580645
qwen,trivia_qa,montecarlosequenceentropy,0.7635483870967742
qwen,truthful_qa,sar,0.596745027124774
qwen,truthful_qa,semanticentropy,0.6075949367088608
qwen,truthful_qa,maximumsequenceprobability,0.6039783001808319
qwen,truthful_qa,lexicalsimilarity,0.6148282097649186
qwen,truthful_qa,montecarlosequenceentropy,0.6292947558770343
qwen,coqa,sar,0.6990950226244343
qwen,coqa,semanticentropy,0.6968325791855203
qwen,coqa,maximumsequenceprobability,0.6776018099547512
qwen,coqa,lexicalsimilarity,0.6826923076923077
qwen,coqa,montecarlosequenceentropy,0.6889140271493213
qwen,simple_qa,sar,0.5810200129115558
qwen,simple_qa,semanticentropy,0.5771465461588121
qwen,simple_qa,maximumsequenceprobability,0.5429309231762427
qwen,simple_qa,lexicalsimilarity,0.513234344738541
qwen,simple_qa,montecarlosequenceentropy,0.5971594577146546
